Aeroporto de Origem Designador OACI;Nome/UF/País Origem;Aeroporto de Destino Designador OACI;Nome/UF/País Destino;Etapas Previstas;% de Cancelamentos;% de Atrasos Superiores a 30 min;% de Atrasos Superiores a 60 min
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);141;1,42;0,72;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBMA;JOÃO CORREA DA ROCHA(PA, BRASIL);23;0;4,35;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBMO;ZUMBI DOS PALMARES(AL, BRASIL);26;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBMQ;ALBERTO ALCOLUMBRE(AP, BRASIL);13;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);42;7,14;5,13;2,56
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBPJ;BRIGADEIRO LYSIAS RODRIGUES(TO, BRASIL);19;5,26;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBPV;GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL);14;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBRB;PLÁCIDO DE CASTRO(AC, BRASIL);17;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);79;3,8;1,32;1,32
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);165;0,61;0,61;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBRP;LEITE LOPES(SP, BRASIL);1;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);27;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);41;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBSN;MAESTRO WILSON FONSECA(PA, BRASIL);13;0;7,69;7,69
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBSP;CONGONHAS(SP, BRASIL);136;5,15;0,78;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBSR;PROFESSOR ERIBERTO MANOEL REINO(SP, BRASIL);16;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);69;1,45;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);38;0;2,63;2,63
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);18;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);14;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SNBR;BARREIRAS(BA, BRASIL);9;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SWGN;ARAGUAÍNA(TO, BRASIL);8;0;0;0
SBBV;ATLAS BRASIL CANTANHEDE(RR, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);29;6,9;0;0
SBBV;ATLAS BRASIL CANTANHEDE(RR, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);30;0;13,33;6,67
SBBW;BARRA DO GARÇAS(MT, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);14;0;0;0
SBBW;BARRA DO GARÇAS(MT, BRASIL);SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);2;0;0;0
SBCA;ADALBERTO MENDES DA SILVA(PR, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);9;0;0;0
SBCA;ADALBERTO MENDES DA SILVA(PR, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);31;3,23;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);LPPT;LISBOA(, PORTUGAL);4;0;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);MPTO;TOCUMEN INTL(, PANAMÁ);13;69,23;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);30;0;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);129;0,78;1,56;0,78
SBCF;TANCREDO NEVES(MG, BRASIL);SBCJ;CARAJÁS(PA, BRASIL);17;0;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBCT;AFONSO PENA(PR, BRASIL);2;0;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);26;0;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBFL;HERCÍLIO LUZ(SC, BRASIL);1;0;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);4;0;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);60;1,67;6,78;3,39
SBCF;TANCREDO NEVES(MG, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);219;0,46;0,46;0,46
SBCF;TANCREDO NEVES(MG, BRASIL);SBGV;CORONEL ALTINO MACHADO(MG, BRASIL);30;0;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBIL;BAHIA - JORGE AMADO(BA, BRASIL);30;6,67;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBJE;JERICOACORA(CE, BRASIL);9;0;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);2;0;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);159;0,63;2,53;1,9
SBCF;TANCREDO NEVES(MG, BRASIL);SBMK;MÁRIO RIBEIRO(MG, BRASIL);50;0;2;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBMO;ZUMBI DOS PALMARES(AL, BRASIL);4;0;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBPS;PORTO SEGURO(BA, BRASIL);35;0;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);110;6,36;1,94;0,97
SBCF;TANCREDO NEVES(MG, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);152;3,95;2,74;1,37
SBCF;TANCREDO NEVES(MG, BRASIL);SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);3;0;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);43;0;4,65;4,65
SBCF;TANCREDO NEVES(MG, BRASIL);SBSP;CONGONHAS(SP, BRASIL);159;1,26;1,27;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);105;4,76;0;0
SBCF;TANCREDO NEVES(MG, BRASIL);SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);61;0;1,64;0
